kode_kab,nama_resmi,pdrb_kapita,gini,miskin,ipm,growth_pdrb,tpt,pop_sp2020,net_rate_permil,neto_LP,bp2mi_rate,region,klassen,lisa_q_raw,lisa_p_raw
3512,Kabupaten Situbondo,34778.55,0.3156666666666667,12.103333333333332,69.91666666666667,4.895935186478559,3.4433333333333334,672926,-0.0019845005522037,-837,0.1370135795020552,Mataraman/Lainnya,III: Berkembang Cepat,4,0.189
3519,Kabupaten Madiun,30348.85,0.3516666666666666,11.246666666666664,73.53333333333332,5.125056458897914,5.323333333333333,687981,-0.3978865861471026,-190530,6.008886873329351,Mataraman/Lainnya,III: Berkembang Cepat,3,0.131
3521,Kabupaten Ngawi,26610.8,0.3123333333333333,14.706666666666663,72.62333333333333,4.487395193628897,3.046666666666667,824017,-0.3534197126117199,-193697,2.3351459982014937,Mataraman/Lainnya,IV: Relatif Tertinggal,3,0.138
3577,Kota Madiun,83050.8,0.3863333333333333,4.863333333333333,83.0,5.798769739918695,6.796666666666667,177382,0.1668709921342422,22990,0.96402115208984,Mataraman/Lainnya,I: Maju & Cepat Tumbuh,4,0.028
3513,Kabupaten Probolinggo,34664.8,0.3066666666666666,17.74,69.62,4.733122559047799,3.68,1128093,-0.0516038255656202,-37692,0.10247382086405996,Mataraman/Lainnya,III: Berkembang Cepat,1,0.018
3510,Kabupaten Banyuwangi,55954.15,0.351,7.640000000000001,73.18666666666667,5.033090177205931,5.1433333333333335,1729762,-0.2676534197834671,-284091,2.8948491179711424,Mataraman/Lainnya,III: Berkembang Cepat,2,0.427
3578,Kota Surabaya,235882.6,0.3873333333333333,4.866666666666666,83.41666666666667,5.70209706764229,8.020000000000001,2874699,0.0655386265458709,124099,0.12168230482565306,Gerbangkertosusila,I: Maju & Cepat Tumbuh,1,0.01
3515,Kabupaten Sidoarjo,121385.5,0.3596666666666666,5.43,81.42,6.158340363251651,9.24,2262440,0.4046943211085577,521039,0.12101978395007161,Gerbangkertosusila,I: Maju & Cepat Tumbuh,1,0.007
3520,Kabupaten Magetan,32451.3,0.3606666666666666,10.1,75.71333333333332,4.472997015610652,4.116666666666666,629520,-0.2533264254242699,-111248,3.946498919811921,Mataraman/Lainnya,IV: Relatif Tertinggal,3,0.086
3529,Kabupaten Sumenep,36398.85,0.2823333333333333,19.32333333333333,68.45333333333333,5.347494841967522,1.7933333333333332,1088484,-0.0700564056949727,-49231,0.1368876345449267,Madura,III: Berkembang Cepat,4,0.493
3523,Kabupaten Tuban,64617.25,0.3426666666666667,15.413333333333332,70.76333333333334,4.372284157752183,4.54,1177120,-0.0938666493366504,-71089,0.19675139323093652,Mataraman/Lainnya,IV: Relatif Tertinggal,3,0.043
3522,Kabupaten Bojonegoro,75374.75,0.301,12.553333333333333,71.21666666666668,2.4728525206812817,4.713333333333334,1235924,-0.1773331423310225,-147153,0.6667076616361524,Mataraman/Lainnya,II: Maju tapi Tertekan,3,0.072
3509,Kabupaten Jember,35550.65,0.327,9.77,69.80666666666667,4.927484514694643,4.503333333333333,2432397,-0.1291773768517752,-212841,0.7824380641811349,Mataraman/Lainnya,III: Berkembang Cepat,2,0.262
3518,Kabupaten Nganjuk,28749.9,0.311,11.146666666666668,73.89333333333333,5.400343853616592,4.8,1026979,-0.2548556471309209,-177920,0.8942733979954799,Mataraman/Lainnya,III: Berkembang Cepat,3,0.285
3508,Kabupaten Lumajang,33780.9,0.3496666666666666,9.346666666666666,68.5,5.001989283265484,4.05,1033723,-0.1212945985506348,-86956,0.4780777829263739,Mataraman/Lainnya,III: Berkembang Cepat,2,0.319
3503,Kabupaten Trenggalek,29495.25,0.334,11.243333333333334,71.21333333333332,4.921966128722671,4.473333333333334,685595,-0.2512061270467441,-118203,3.4906905680467326,Mataraman/Lainnya,III: Berkembang Cepat,3,0.073
3576,Kota Mojokerto,57854.75,0.356,6.046666666666667,80.14333333333333,2.7907862173995883,5.55,130694,0.1989826268234985,18319,0.04131788758473993,Gerbangkertosusila,IV: Relatif Tertinggal,1,0.024
3572,Kota Blitar,53558.350000000006,0.3826666666666667,7.52,80.06666666666668,5.2918017600741045,5.746666666666667,144613,0.0010976103465132,109,1.2239563524717694,Mataraman/Lainnya,III: Berkembang Cepat,4,0.387
3571,Kota Kediri,531962.3999999999,0.3816666666666666,7.376666666666668,80.08,1.9177551964692447,4.9366666666666665,292544,0.0310963342716094,5306,0.44574491358564866,Mataraman/Lainnya,II: Maju tapi Tertekan,4,0.059
3514,Kabupaten Pasuruan,109766.25,0.3453333333333333,9.3,71.24666666666667,5.205461566217124,5.806666666666668,1617155,-0.0088009423820756,-9325,0.2752982861877804,Gerbangkertosusila,I: Maju & Cepat Tumbuh,1,0.002
3526,Kabupaten Bangkalan,25271.2,0.3026666666666666,20.12,66.11666666666666,1.204606159234425,7.433333333333334,975699,-0.2945133334857183,-198843,0.29865768028869555,Madura,IV: Relatif Tertinggal,3,0.292
3525,Kabupaten Gresik,126588.55,0.3353333333333333,11.48,77.68,4.621914778821823,7.553333333333334,1309615,0.1664796802243081,146388,0.307418592487105,Gerbangkertosusila,II: Maju tapi Tertekan,1,0.011
3502,Kabupaten Ponorogo,25204.1,0.3486666666666667,9.703333333333331,72.52666666666667,5.143867971405286,4.8500000000000005,860995,-0.2915974641161614,-179117,9.491112027363691,Mataraman/Lainnya,III: Berkembang Cepat,3,0.176
3504,Kabupaten Tulungagung,41682.8,0.3323333333333333,6.916666666666667,74.02666666666667,4.912401236688413,5.736666666666667,1053763,-0.2041524421753156,-144615,5.522873739161462,Mataraman/Lainnya,III: Berkembang Cepat,3,0.232
3501,Kabupaten Pacitan,31887.95,0.3423333333333334,14.186666666666667,70.19333333333333,4.458131440660619,2.5066666666666664,580431,-0.4153094356667806,-156076,0.3404366755049265,Mataraman/Lainnya,IV: Relatif Tertinggal,3,0.198
3575,Kota Pasuruan,46180.15,0.3626666666666667,6.616666666666667,77.61333333333333,5.645931491149891,6.016666666666667,208890,0.1888312213475753,26414,0.08616975441619991,Gerbangkertosusila,III: Berkembang Cepat,1,0.004
3511,Kabupaten Bondowoso,30324.35,0.3496666666666666,13.84666666666667,69.90333333333332,4.617562559853434,4.3100000000000005,779982,-0.0287448732101553,-13975,0.18692739063209152,Mataraman/Lainnya,IV: Relatif Tertinggal,4,0.307
3574,Kota Probolinggo,55403.0,0.3226666666666666,6.8566666666666665,76.07000000000001,6.037552970877297,5.216666666666668,236428,0.1306484402093943,21555,0.06429018559561474,Mataraman/Lainnya,III: Berkembang Cepat,1,0.021
3517,Kabupaten Jombang,35641.5,0.327,9.396666666666668,74.64,5.040849293031351,5.739999999999999,1310278,-0.1285368067402616,-111237,0.3551917989922749,Mataraman/Lainnya,III: Berkembang Cepat,3,0.468
3524,Kabupaten Lamongan,34562.149999999994,0.2866666666666666,12.936666666666667,74.69666666666667,4.284928380773851,5.47,1253233,-0.2089967693802508,-181883,0.519296890522353,Gerbangkertosusila,IV: Relatif Tertinggal,2,0.001
3573,Kota Malang,103213.35,0.4136666666666666,4.416666666666667,83.38333333333333,6.071427311189769,8.036666666666667,843810,0.2086122372780791,118035,0.1680473092283808,Mataraman/Lainnya,I: Maju & Cepat Tumbuh,4,0.483
